OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
2, mujets, down, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))) - 0.042106
2, mujets, central, 0, 0.0, 2.4, 500.0, 600.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))
2, mujets, up, 0, 0.0, 2.4, 500.0, 600.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))) + 0.053241
2, mujets, down, 0, 0.0, 2.4, 500.0, 600.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))) - 0.053241
2, mujets, central, 0, 0.0, 2.4, 600.0, 800.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))
2, mujets, up, 0, 0.0, 2.4, 600.0, 800.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))) + 0.050621
2, mujets, down, 0, 0.0, 2.4, 600.0, 800.0, 0, 1, 0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))) - 0.050621
2, comb, central, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.0624031
2, comb, down, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.0624031
2, comb, central, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.034023
2, comb, down, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.034023
2, comb, central, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.0362764
2, comb, down, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.0362764
2, comb, central, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.0341996
2, comb, down, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.0341996
2, comb, central, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.031248
2, comb, down, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.031248
2, comb, central, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.0281222
2, comb, down, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.0281222
2, comb, central, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.0316684
2, comb, down, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.0316684
2, comb, central, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.0276272
2, comb, down, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.0276272
2, comb, central, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.0208828
2, comb, down, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.0208828
2, comb, central, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.0223511
2, comb, down, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.0223511
2, comb, central, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.0224121
2, comb, down, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.0224121
2, comb, central, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.0261939
2, comb, down, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.0261939
2, comb, central, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.0268247
2, comb, down, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.0268247
2, comb, central, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.0421413
2, comb, down, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.0421413
2, comb, central, 0, 0.0, 2.4, 500.0, 600.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 500.0, 600.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.0532897
2, comb, down, 0, 0.0, 2.4, 500.0, 600.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.0532897
2, comb, central, 0, 0.0, 2.4, 600.0, 800.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x)))
2, comb, up, 0, 0.0, 2.4, 600.0, 800.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) + 0.0506714
2, comb, down, 0, 0.0, 2.4, 600.0, 800.0, 0, 1, 0.703389*((1.+(0.088358*x))/(1.+(0.0660291*x))) - 0.0506714
2, comb, central, 2, 0.0, 2.4, 20.0, 1000.0, 0, 1, (((1.20175+(0.000858187*x))+(-1.98726e-06*(x*x)))+(1.31057e-09*(x*(x*x))))
2, comb, up, 2, 0.0, 2.4, 20.0, 1000.0, 0, 1, (((1.20175+(0.000858187*x))+(-1.98726e-06*(x*x)))+(1.31057e-09*(x*(x*x)))) + ((((1.43508+(0.00112666*x))+(-2.62078e-06*(x*x)))+(1.70697e-09*(x*(x*x))))-(((0.968557+(0.000586877*x))+(-1.34624e-06*(x*x)))+(9.09724e-10*(x*(x*x)))))/2.0
2, comb, down, 2, 0.0, 2.4, 20.0, 1000.0, 0, 1, (((1.20175+(0.000858187*x))+(-1.98726e-06*(x*x)))+(1.31057e-09*(x*(x*x)))) - ((((1.43508+(0.00112666*x))+(-2.62078e-06*(x*x)))+(1.70697e-09*(x*(x*x))))-(((0.968557+(0.000586877*x))+(-1.34624e-06*(x*x)))+(9.09724e-10*(x*(x*x)))))/2.0
3, ttbar, central, 0, 0.0, 2.4, 20, 99999, 1.2, 8.5, -0.000439434*x*x*x*x+0.00982901*x*x*x-0.0758301*x*x+0.235126*x+0.664076
3, ttbar, up, 0, 0.0, 2.4, 20, 99999, 1.2, 8.5, -0.000439434*x*x*x*x+0.00982901*x*x*x-0.0758301*x*x+0.235126*x+0.664076 + 0.03
3, ttbar, down, 0, 0.0, 2.4, 20, 99999, 1.2, 8.5, -0.000439434*x*x*x*x+0.00982901*x*x*x-0.0758301*x*x+0.235126*x+0.664076 - 0.03
2, ttbar, central, 0, 0.0, 2.4, 0.0, 499.0, 0, 1, 0.911
2, ttbar, up, 0, 0.0, 2.4, 0.0, 499.0, 0, 1, 0.938
2, ttbar, down, 0, 0.0, 2.4, 0.0, 499.0, 0, 1, 0.884

2, mujets, central, 1, 0, 2.4, 20, 30, 0, 1, "0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))" 
2, mujets, down, 1, 0, 2.4, 20, 30, 0, 1, "2*(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))-0.0623066)-(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))))" 
2, mujets, up, 1, 0, 2.4, 20, 30, 0, 1, "2*(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))+0.0623066)-(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))))" 
2, mujets, central, 1, 0, 2.4, 30, 40, 0, 1, "0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))" 
2, mujets, down, 1, 0, 2.4, 30, 40, 0, 1, "2*(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))-0.0360776)-(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))))" 
2, mujets, up, 1, 0, 2.4, 30, 40, 0, 1, "2*(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))+0.0360776)-(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))))" 
2, mujets, central, 1, 0, 2.4, 40, 50, 0, 1, "0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))" 
2, mujets, down, 1, 0, 2.4, 40, 50, 0, 1, "2*(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))-0.0384463)-(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))))" 
2, mujets, up, 1, 0, 2.4, 40, 50, 0, 1, "2*(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))+0.0384463)-(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))))" 
2, mujets, central, 1, 0, 2.4, 50, 60, 0, 1, "0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))" 
2, mujets, down, 1, 0, 2.4, 50, 60, 0, 1, "2*(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))-0.0345685)-(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))))" 
2, mujets, up, 1, 0, 2.4, 50, 60, 0, 1, "2*(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))+0.0345685)-(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))))" 
2, mujets, central, 1, 0, 2.4, 60, 70, 0, 1, "0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))" 
2, mujets, down, 1, 0, 2.4, 60, 70, 0, 1, "2*(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))-0.0313914)-(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))))" 
2, mujets, up, 1, 0, 2.4, 60, 70, 0, 1, "2*(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x)))+0.0313914)-(0.671344*((1.+(0.111537*x))/(1.+(0.0796576*x))))" 
